Group,Test,Value,Type,Stack,Data,Address.cor,Address.mem,STACK,Dist,Correto
GrupoB,ijk08,55,Stack,110489,55244,110489,NA,NA,NA,FALSE
GrupoB,ijk09,3,Stack,127604,63802,127604,NA,NA,NA,FALSE
GrupoB,ijk09,15,Stack,127604,63802,127604,NA,NA,NA,FALSE
GrupoB,ijk09,46,Stack,127604,63802,127604,NA,NA,NA,FALSE
GrupoB,ijk10,2,Stack,121567,60783,121567,NA,NA,NA,FALSE
GrupoB,ijk10,300,Stack,121567,60783,121567,NA,NA,NA,FALSE
GrupoB,ijk10,400,Stack,121567,60783,121567,NA,NA,NA,FALSE
GrupoB,ijk11,2,Stack,115351,57675,115351,NA,NA,NA,FALSE
GrupoB,ijk11,400,Stack,115351,57675,115351,NA,NA,NA,FALSE
GrupoB,ijk11,800,Stack,115351,57675,115351,NA,NA,NA,FALSE
GrupoB,ijk12,20,Stack,118369,59184,118369,NA,NA,NA,FALSE
GrupoB,ijk13,2,Stack,122809,61404,122809,NA,NA,NA,FALSE
GrupoB,ijk14,393,Data,101594,50797,50797,NA,NA,NA,FALSE
GrupoB,ijk14,394,Stack,101594,50797,101594,NA,NA,NA,FALSE
GrupoB,ijk15,123,Stack,123673,61836,123673,NA,NA,NA,FALSE
GrupoB,ijk15,357,Stack,123673,61836,123673,NA,NA,NA,FALSE
GrupoB,ijk16,1,Stack,131807,65903,131807,NA,NA,NA,FALSE
GrupoB,ijk16,393,Stack,131807,65903,131807,NA,NA,NA,FALSE
GrupoB,ijk17,5,Stack,131732,65866,131732,NA,NA,NA,FALSE
GrupoB,ijk17,615,Stack,131732,65866,131732,NA,NA,NA,FALSE
GrupoB,ijk18,5,Stack,100401,50200,100401,NA,NA,NA,FALSE
GrupoB,ijk18,615,Stack,100401,50200,100401,NA,NA,NA,FALSE
GrupoB,ijk19,0,Stack,104409,52204,104409,NA,NA,NA,FALSE
GrupoB,ijk19,1,Stack,104409,52204,104409,NA,NA,NA,FALSE
GrupoB,ijk19,2,Stack,104409,52204,104409,NA,NA,NA,FALSE
GrupoB,ijk19,3,Stack,104409,52204,104409,NA,NA,NA,FALSE
GrupoB,ijk19,293,Stack,104409,52204,104409,NA,NA,NA,FALSE
GrupoB,ijk1A,98,Stack,120171,60085,120171,NA,NA,NA,FALSE
GrupoB,ijk1A,456,Stack,120171,60085,120171,NA,NA,NA,FALSE
GrupoB,ijk1B,-3,Stack,128186,64093,128186,NA,NA,NA,FALSE
GrupoB,ijk1B,432,Stack,128186,64093,128186,NA,NA,NA,FALSE
GrupoB,ijk20,0,Stack,132050,66025,132050,NA,NA,NA,FALSE
GrupoB,ijk20,1,Stack,132050,66025,132050,NA,NA,NA,FALSE
GrupoB,ijk20,2,Stack,132050,66025,132050,NA,NA,NA,FALSE
GrupoB,ijk20,3,Stack,132050,66025,132050,NA,NA,NA,FALSE
GrupoB,ijk20,325,Stack,132050,66025,132050,NA,NA,NA,FALSE
GrupoC,ijk00,456,Stack,105306,52653,105306,105314,TRUE,8,TRUE
GrupoC,ijk00,923,Data,105306,52653,52653,52653,FALSE,0,TRUE
GrupoC,ijk00,1379,Stack,105306,52653,105306,105310,TRUE,4,TRUE
GrupoC,ijk01,456,Stack,111475,55737,111475,111487,TRUE,12,TRUE
GrupoC,ijk01,923,Data,111475,55737,55737,55737,FALSE,0,TRUE
GrupoC,ijk01,1379,Stack,111475,55737,111475,111491,TRUE,16,TRUE
GrupoC,ijk02,456,Data,123303,61651,61651,61655,FALSE,4,TRUE
GrupoC,ijk02,923,Data,123303,61651,61651,61659,FALSE,8,TRUE
GrupoC,ijk02,1379,Data,123303,61651,61651,61651,FALSE,0,TRUE
GrupoC,ijk03,456,Data,101579,50789,50789,50793,FALSE,4,TRUE
GrupoC,ijk03,923,Data,101579,50789,50789,50801,FALSE,12,TRUE
GrupoC,ijk03,1379,Data,101579,50789,50789,50797,FALSE,8,TRUE
GrupoC,ijk04,30,Stack,123427,61713,123427,123427,TRUE,0,TRUE
GrupoC,ijk04,46,Stack,123427,61713,123427,123431,TRUE,4,TRUE
GrupoC,ijk04,76,Stack,123427,61713,123427,123435,TRUE,8,TRUE
GrupoC,ijk05,-18,Stack,122399,61199,122399,122403,TRUE,4,TRUE
GrupoC,ijk05,-2,Stack,122399,61199,122399,122399,TRUE,0,TRUE
GrupoC,ijk05,16,Stack,122399,61199,122399,122407,TRUE,8,TRUE
GrupoC,ijk06,5,Stack,127262,63631,127262,127266,TRUE,4,TRUE
GrupoC,ijk06,12,Stack,127262,63631,127262,127270,TRUE,8,TRUE
GrupoC,ijk06,25,Stack,127262,63631,127262,127262,TRUE,0,TRUE
GrupoC,ijk07,45,Stack,122487,61243,122487,122487,TRUE,0,TRUE
GrupoC,ijk07,135,Stack,122487,61243,122487,122491,TRUE,4,TRUE
GrupoC,ijk07,6075,Stack,122487,61243,122487,122495,TRUE,8,TRUE
GrupoC,ijk08,3,Stack,125093,62546,125093,125101,TRUE,8,TRUE
GrupoC,ijk08,15,Stack,125093,62546,125093,125097,TRUE,4,TRUE
GrupoC,ijk08,55,Stack,125093,62546,125093,125093,TRUE,0,TRUE
GrupoC,ijk09,3,Stack,107486,53743,107486,107494,TRUE,8,TRUE
GrupoC,ijk09,15,Stack,107486,53743,107486,107490,TRUE,4,TRUE
GrupoC,ijk09,46,Stack,107486,53743,107486,107486,TRUE,0,TRUE
GrupoC,ijk10,2,Stack,118987,59493,118987,118995,TRUE,8,TRUE
GrupoC,ijk10,300,Stack,118987,59493,118987,118987,TRUE,0,TRUE
GrupoC,ijk10,400,Stack,118987,59493,118987,118991,TRUE,4,TRUE
GrupoC,ijk11,2,Stack,113704,56852,113704,113712,TRUE,8,TRUE
GrupoC,ijk11,400,Stack,113704,56852,113704,113708,TRUE,4,TRUE
GrupoC,ijk11,800,Stack,113704,56852,113704,113704,TRUE,0,TRUE
GrupoC,ijk12,20,Stack,106287,53143,106287,106287,TRUE,0,TRUE
GrupoC,ijk13,2,Stack,100289,50144,100289,100289,TRUE,0,TRUE
GrupoC,ijk14,393,Data,112741,56370,56370,56370,FALSE,0,TRUE
GrupoC,ijk14,394,Stack,112741,56370,112741,112745,TRUE,4,TRUE
GrupoC,ijk15,123,Stack,110309,55154,110309,110321,TRUE,12,TRUE
GrupoC,ijk15,357,Stack,110309,55154,110309,110317,TRUE,8,TRUE
GrupoC,ijk16,1,Stack,115858,57929,115858,115858,TRUE,0,TRUE
GrupoC,ijk16,393,Stack,115858,57929,115858,115862,TRUE,4,TRUE
GrupoC,ijk17,5,Stack,103035,51517,103035,103035,TRUE,0,TRUE
GrupoC,ijk17,615,Stack,103035,51517,103035,103043,TRUE,8,TRUE
GrupoC,ijk18,5,Stack,103491,51745,103491,103491,TRUE,0,TRUE
GrupoC,ijk18,615,Stack,103491,51745,103491,103495,TRUE,4,TRUE
GrupoC,ijk19,0,Stack,105291,52645,105291,105291,TRUE,0,TRUE
GrupoC,ijk19,1,Stack,105291,52645,105291,105295,TRUE,4,TRUE
GrupoC,ijk19,2,Stack,105291,52645,105291,105299,TRUE,8,TRUE
GrupoC,ijk19,3,Stack,105291,52645,105291,105303,TRUE,12,TRUE
GrupoC,ijk19,293,Stack,105291,52645,105291,105307,TRUE,16,TRUE
GrupoC,ijk1A,98,Stack,118116,59058,118116,118128,TRUE,12,TRUE
GrupoC,ijk1A,456,Stack,118116,59058,118116,118124,TRUE,8,TRUE
GrupoC,ijk1B,-3,Stack,107395,53697,107395,107395,TRUE,0,TRUE
GrupoC,ijk1B,432,Stack,107395,53697,107395,107399,TRUE,4,TRUE
GrupoC,ijk20,0,Stack,107085,53542,107085,107089,TRUE,4,TRUE
GrupoC,ijk20,1,Stack,107085,53542,107085,107085,TRUE,0,TRUE
GrupoC,ijk20,2,Stack,107085,53542,107085,107093,TRUE,8,TRUE
GrupoC,ijk20,3,Stack,107085,53542,107085,107097,TRUE,12,TRUE
GrupoC,ijk20,325,Stack,107085,53542,107085,107101,TRUE,16,TRUE
GrupoD,ijk00,456,Stack,102210,51105,102210,102214,TRUE,4,TRUE
GrupoD,ijk00,923,Data,102210,51105,51105,51105,FALSE,0,TRUE
GrupoD,ijk00,1379,Stack,102210,51105,102210,102210,TRUE,0,TRUE
GrupoD,ijk01,456,Stack,103506,51753,103506,103514,TRUE,8,TRUE
GrupoD,ijk01,923,Data,103506,51753,51753,51753,FALSE,0,TRUE
GrupoD,ijk01,1379,Stack,103506,51753,103506,103518,TRUE,12,TRUE
GrupoD,ijk02,456,Data,108180,54090,54090,54094,FALSE,4,TRUE
GrupoD,ijk02,923,Data,108180,54090,54090,54098,FALSE,8,TRUE
GrupoD,ijk02,1379,Data,108180,54090,54090,54090,FALSE,0,TRUE
GrupoD,ijk03,456,Data,118082,59041,59041,59045,FALSE,4,TRUE
GrupoD,ijk03,923,Data,118082,59041,59041,59053,FALSE,12,TRUE
GrupoD,ijk03,1379,Data,118082,59041,59041,59049,FALSE,8,TRUE
GrupoD,ijk04,30,Stack,111701,55850,111701,111701,TRUE,0,TRUE
GrupoD,ijk04,46,Stack,111701,55850,111701,111705,TRUE,4,TRUE
GrupoD,ijk04,76,Stack,111701,55850,111701,111709,TRUE,8,TRUE
GrupoD,ijk05,-18,Stack,125243,62621,125243,125247,TRUE,4,TRUE
GrupoD,ijk05,-2,Stack,125243,62621,125243,125243,TRUE,0,TRUE
GrupoD,ijk05,16,Stack,125243,62621,125243,125251,TRUE,8,TRUE
GrupoD,ijk06,5,Stack,118295,59147,118295,118299,TRUE,4,TRUE
GrupoD,ijk06,12,Stack,118295,59147,118295,118303,TRUE,8,TRUE
GrupoD,ijk06,25,Stack,118295,59147,118295,118295,TRUE,0,TRUE
GrupoD,ijk07,45,Stack,118113,59056,118113,118113,TRUE,0,TRUE
GrupoD,ijk07,135,Stack,118113,59056,118113,118117,TRUE,4,TRUE
GrupoD,ijk07,6075,Stack,118113,59056,118113,118121,TRUE,8,TRUE
GrupoD,ijk08,3,Stack,113841,56920,113841,113849,TRUE,8,TRUE
GrupoD,ijk08,15,Stack,113841,56920,113841,113845,TRUE,4,TRUE
GrupoD,ijk08,55,Stack,113841,56920,113841,113841,TRUE,0,TRUE
GrupoD,ijk09,3,Stack,104191,52095,104191,104199,TRUE,8,TRUE
GrupoD,ijk09,15,Stack,104191,52095,104191,104195,TRUE,4,TRUE
GrupoD,ijk09,46,Stack,104191,52095,104191,104191,TRUE,0,TRUE
GrupoD,ijk10,2,Stack,102953,51476,102953,102961,TRUE,8,TRUE
GrupoD,ijk10,300,Stack,102953,51476,102953,102953,TRUE,0,TRUE
GrupoD,ijk10,400,Stack,102953,51476,102953,102957,TRUE,4,TRUE
GrupoD,ijk11,2,Stack,101544,50772,101544,101552,TRUE,8,TRUE
GrupoD,ijk11,400,Stack,101544,50772,101544,101548,TRUE,4,TRUE
GrupoD,ijk11,800,Stack,101544,50772,101544,101544,TRUE,0,TRUE
GrupoD,ijk12,20,Stack,117334,58667,117334,117334,TRUE,0,TRUE
GrupoD,ijk13,2,Stack,125840,62920,125840,125840,TRUE,0,TRUE
GrupoD,ijk14,393,Data,131158,65579,65579,65579,FALSE,0,TRUE
GrupoD,ijk14,394,Stack,131158,65579,131158,131158,TRUE,0,TRUE
GrupoD,ijk15,123,Stack,125039,62519,125039,125047,TRUE,8,TRUE
GrupoD,ijk15,357,Stack,125039,62519,125039,125043,TRUE,4,TRUE
GrupoD,ijk16,1,Stack,120436,60218,120436,120436,TRUE,0,TRUE
GrupoD,ijk16,393,Stack,120436,60218,120436,NA,NA,NA,FALSE
GrupoD,ijk17,5,Stack,124546,62273,124546,NA,NA,NA,FALSE
GrupoD,ijk17,615,Stack,124546,62273,124546,NA,NA,NA,FALSE
GrupoD,ijk18,5,Stack,122154,61077,122154,NA,NA,NA,FALSE
GrupoD,ijk18,615,Stack,122154,61077,122154,NA,NA,NA,FALSE
GrupoD,ijk19,0,Stack,107593,53796,107593,107593,TRUE,0,TRUE
GrupoD,ijk19,1,Stack,107593,53796,107593,107597,TRUE,4,TRUE
GrupoD,ijk19,2,Stack,107593,53796,107593,107601,TRUE,8,TRUE
GrupoD,ijk19,3,Stack,107593,53796,107593,107605,TRUE,12,TRUE
GrupoD,ijk19,293,Stack,107593,53796,107593,107609,TRUE,16,TRUE
GrupoD,ijk1A,98,Stack,127624,63812,127624,NA,NA,NA,FALSE
GrupoD,ijk1A,456,Stack,127624,63812,127624,NA,NA,NA,FALSE
GrupoD,ijk1B,-3,Stack,101412,50706,101412,101412,TRUE,0,TRUE
GrupoD,ijk1B,432,Stack,101412,50706,101412,101416,TRUE,4,TRUE
GrupoD,ijk20,0,Stack,127279,63639,127279,127283,TRUE,4,TRUE
GrupoD,ijk20,1,Stack,127279,63639,127279,127279,TRUE,0,TRUE
GrupoD,ijk20,2,Stack,127279,63639,127279,127287,TRUE,8,TRUE
GrupoD,ijk20,3,Stack,127279,63639,127279,127291,TRUE,12,TRUE
GrupoD,ijk20,325,Stack,127279,63639,127279,127295,TRUE,16,TRUE
GrupoM,ijk00,456,Stack,116506,58253,116506,116510,TRUE,4,TRUE
GrupoM,ijk00,923,Data,116506,58253,58253,58253,FALSE,0,TRUE
GrupoM,ijk00,1379,Stack,116506,58253,116506,116506,TRUE,0,TRUE
GrupoM,ijk01,456,Stack,109555,54777,109555,109563,TRUE,8,TRUE
GrupoM,ijk01,923,Data,109555,54777,54777,54777,FALSE,0,TRUE
GrupoM,ijk01,1379,Stack,109555,54777,109555,109567,TRUE,12,TRUE
GrupoM,ijk02,456,Data,103931,51965,51965,51969,FALSE,4,TRUE
GrupoM,ijk02,923,Data,103931,51965,51965,51973,FALSE,8,TRUE
GrupoM,ijk02,1379,Data,103931,51965,51965,51965,FALSE,0,TRUE
GrupoM,ijk03,456,Data,130440,65220,65220,65224,FALSE,4,TRUE
GrupoM,ijk03,923,Data,130440,65220,65220,65232,FALSE,12,TRUE
GrupoM,ijk03,1379,Data,130440,65220,65220,65228,FALSE,8,TRUE
GrupoM,ijk04,30,Stack,112831,56415,112831,112831,TRUE,0,TRUE
GrupoM,ijk04,46,Stack,112831,56415,112831,112835,TRUE,4,TRUE
GrupoM,ijk04,76,Stack,112831,56415,112831,112839,TRUE,8,TRUE
GrupoM,ijk05,-18,Stack,127330,63665,127330,127334,TRUE,4,TRUE
GrupoM,ijk05,-2,Stack,127330,63665,127330,127330,TRUE,0,TRUE
GrupoM,ijk05,16,Stack,127330,63665,127330,127338,TRUE,8,TRUE
GrupoM,ijk06,5,Stack,120054,60027,120054,120058,TRUE,4,TRUE
GrupoM,ijk06,12,Stack,120054,60027,120054,120062,TRUE,8,TRUE
GrupoM,ijk06,25,Stack,120054,60027,120054,120054,TRUE,0,TRUE
GrupoM,ijk07,45,Stack,121028,60514,121028,121028,TRUE,0,TRUE
GrupoM,ijk07,135,Stack,121028,60514,121028,121032,TRUE,4,TRUE
GrupoM,ijk07,6075,Stack,121028,60514,121028,121036,TRUE,8,TRUE
GrupoM,ijk08,3,Stack,113538,56769,113538,113546,TRUE,8,TRUE
GrupoM,ijk08,15,Stack,113538,56769,113538,113542,TRUE,4,TRUE
GrupoM,ijk08,55,Stack,113538,56769,113538,113538,TRUE,0,TRUE
GrupoM,ijk09,3,Stack,126751,63375,126751,126759,TRUE,8,TRUE
GrupoM,ijk09,15,Stack,126751,63375,126751,126755,TRUE,4,TRUE
GrupoM,ijk09,46,Stack,126751,63375,126751,126751,TRUE,0,TRUE
GrupoM,ijk10,2,Stack,119856,59928,119856,119864,TRUE,8,TRUE
GrupoM,ijk10,300,Stack,119856,59928,119856,119856,TRUE,0,TRUE
GrupoM,ijk10,400,Stack,119856,59928,119856,119860,TRUE,4,TRUE
GrupoM,ijk11,2,Stack,116370,58185,116370,116378,TRUE,8,TRUE
GrupoM,ijk11,400,Stack,116370,58185,116370,116374,TRUE,4,TRUE
GrupoM,ijk11,800,Stack,116370,58185,116370,116370,TRUE,0,TRUE
GrupoM,ijk12,20,Stack,120398,60199,120398,120398,TRUE,0,TRUE
GrupoM,ijk13,2,Stack,120669,60334,120669,120669,TRUE,0,TRUE
GrupoM,ijk14,393,Data,121957,60978,60978,60978,FALSE,0,TRUE
GrupoM,ijk14,394,Stack,121957,60978,121957,121957,TRUE,0,TRUE
GrupoM,ijk15,123,Stack,108509,54254,108509,108517,TRUE,8,TRUE
GrupoM,ijk15,357,Stack,108509,54254,108509,108513,TRUE,4,TRUE
GrupoM,ijk16,1,Stack,115453,57726,115453,115453,TRUE,0,TRUE
GrupoM,ijk16,393,Stack,115453,57726,115453,115457,TRUE,4,TRUE
GrupoM,ijk17,5,Stack,121948,60974,121948,121948,TRUE,0,TRUE
GrupoM,ijk17,615,Stack,121948,60974,121948,121956,TRUE,8,TRUE
GrupoM,ijk18,5,Stack,111165,55582,111165,111165,TRUE,0,TRUE
GrupoM,ijk18,615,Stack,111165,55582,111165,111169,TRUE,4,TRUE
GrupoM,ijk19,0,Stack,110950,55475,110950,110950,TRUE,0,TRUE
GrupoM,ijk19,1,Stack,110950,55475,110950,110954,TRUE,4,TRUE
GrupoM,ijk19,2,Stack,110950,55475,110950,110958,TRUE,8,TRUE
GrupoM,ijk19,3,Stack,110950,55475,110950,110962,TRUE,12,TRUE
GrupoM,ijk19,293,Stack,110950,55475,110950,110966,TRUE,16,TRUE
GrupoM,ijk1A,98,Stack,131312,65656,131312,131320,TRUE,8,TRUE
GrupoM,ijk1A,456,Stack,131312,65656,131312,131316,TRUE,4,TRUE
GrupoM,ijk1B,-3,Stack,125639,62819,125639,125639,TRUE,0,TRUE
GrupoM,ijk1B,432,Stack,125639,62819,125639,125643,TRUE,4,TRUE
GrupoM,ijk20,0,Stack,109354,54677,109354,109358,TRUE,4,TRUE
GrupoM,ijk20,1,Stack,109354,54677,109354,109354,TRUE,0,TRUE
GrupoM,ijk20,2,Stack,109354,54677,109354,109362,TRUE,8,TRUE
GrupoM,ijk20,3,Stack,109354,54677,109354,109366,TRUE,12,TRUE
GrupoM,ijk20,325,Stack,109354,54677,109354,109370,TRUE,16,TRUE
GrupoP,ijk00,456,Stack,117835,58917,117835,117839,TRUE,4,TRUE
GrupoP,ijk00,923,Data,117835,58917,58917,58917,FALSE,0,TRUE
GrupoP,ijk00,1379,Stack,117835,58917,117835,117835,TRUE,0,TRUE
GrupoP,ijk01,456,Stack,118836,59418,118836,118844,TRUE,8,TRUE
GrupoP,ijk01,923,Data,118836,59418,59418,59418,FALSE,0,TRUE
GrupoP,ijk01,1379,Stack,118836,59418,118836,118848,TRUE,12,TRUE
GrupoP,ijk02,456,Data,117591,58795,58795,58799,FALSE,4,TRUE
GrupoP,ijk02,923,Data,117591,58795,58795,58803,FALSE,8,TRUE
GrupoP,ijk02,1379,Data,117591,58795,58795,58795,FALSE,0,TRUE
GrupoP,ijk03,456,Data,115439,57719,57719,57723,FALSE,4,TRUE
GrupoP,ijk03,923,Data,115439,57719,57719,57731,FALSE,12,TRUE
GrupoP,ijk03,1379,Data,115439,57719,57719,57727,FALSE,8,TRUE
GrupoP,ijk04,30,Stack,114894,57447,114894,114894,TRUE,0,TRUE
GrupoP,ijk04,46,Stack,114894,57447,114894,114898,TRUE,4,TRUE
GrupoP,ijk04,76,Stack,114894,57447,114894,114902,TRUE,8,TRUE
GrupoP,ijk05,-18,Stack,115437,57718,115437,115441,TRUE,4,TRUE
GrupoP,ijk05,-2,Stack,115437,57718,115437,115437,TRUE,0,TRUE
GrupoP,ijk05,16,Stack,115437,57718,115437,115445,TRUE,8,TRUE
GrupoP,ijk06,5,Stack,132325,66162,132325,132329,TRUE,4,TRUE
GrupoP,ijk06,12,Stack,132325,66162,132325,132333,TRUE,8,TRUE
GrupoP,ijk06,25,Stack,132325,66162,132325,132325,TRUE,0,TRUE
GrupoP,ijk07,45,Stack,125391,62695,125391,125391,TRUE,0,TRUE
GrupoP,ijk07,135,Stack,125391,62695,125391,125395,TRUE,4,TRUE
GrupoP,ijk07,6075,Stack,125391,62695,125391,125399,TRUE,8,TRUE
GrupoP,ijk08,3,Stack,129052,64526,129052,129060,TRUE,8,TRUE
GrupoP,ijk08,15,Stack,129052,64526,129052,129056,TRUE,4,TRUE
GrupoP,ijk08,55,Stack,129052,64526,129052,129052,TRUE,0,TRUE
GrupoP,ijk09,3,Stack,101921,50960,101921,101929,TRUE,8,TRUE
GrupoP,ijk09,15,Stack,101921,50960,101921,101925,TRUE,4,TRUE
GrupoP,ijk09,46,Stack,101921,50960,101921,101921,TRUE,0,TRUE
GrupoP,ijk10,2,Stack,112556,56278,112556,112564,TRUE,8,TRUE
GrupoP,ijk10,300,Stack,112556,56278,112556,112556,TRUE,0,TRUE
GrupoP,ijk10,400,Stack,112556,56278,112556,112560,TRUE,4,TRUE
GrupoP,ijk11,2,Stack,108787,54393,108787,108795,TRUE,8,TRUE
GrupoP,ijk11,400,Stack,108787,54393,108787,108791,TRUE,4,TRUE
GrupoP,ijk11,800,Stack,108787,54393,108787,108787,TRUE,0,TRUE
GrupoP,ijk12,20,Stack,121318,60659,121318,121318,TRUE,0,TRUE
GrupoP,ijk13,2,Stack,116871,58435,116871,116871,TRUE,0,TRUE
GrupoP,ijk14,393,Data,101031,50515,50515,50515,FALSE,0,TRUE
GrupoP,ijk14,394,Stack,101031,50515,101031,101031,TRUE,0,TRUE
GrupoP,ijk15,123,Stack,129077,64538,129077,129085,TRUE,8,TRUE
GrupoP,ijk15,357,Stack,129077,64538,129077,129081,TRUE,4,TRUE
GrupoP,ijk16,1,Stack,105577,52788,105577,105577,TRUE,0,TRUE
GrupoP,ijk16,393,Stack,105577,52788,105577,NA,NA,NA,FALSE
GrupoP,ijk17,5,Stack,109655,54827,109655,109655,TRUE,0,TRUE
GrupoP,ijk17,615,Stack,109655,54827,109655,109663,TRUE,8,TRUE
GrupoP,ijk18,5,Stack,116681,58340,116681,116681,TRUE,0,TRUE
GrupoP,ijk18,615,Stack,116681,58340,116681,116685,TRUE,4,TRUE
GrupoP,ijk19,0,Stack,113456,56728,113456,113456,TRUE,0,TRUE
GrupoP,ijk19,1,Stack,113456,56728,113456,113460,TRUE,4,TRUE
GrupoP,ijk19,2,Stack,113456,56728,113456,113464,TRUE,8,TRUE
GrupoP,ijk19,3,Stack,113456,56728,113456,113468,TRUE,12,TRUE
GrupoP,ijk19,293,Stack,113456,56728,113456,113472,TRUE,16,TRUE
GrupoP,ijk1A,98,Stack,100260,50130,100260,100268,TRUE,8,TRUE
GrupoP,ijk1A,456,Stack,100260,50130,100260,100264,TRUE,4,TRUE
GrupoP,ijk1B,-3,Stack,104985,52492,104985,104985,TRUE,0,TRUE
GrupoP,ijk1B,432,Stack,104985,52492,104985,104989,TRUE,4,TRUE
GrupoP,ijk20,0,Stack,100988,50494,100988,100992,TRUE,4,TRUE
GrupoP,ijk20,1,Stack,100988,50494,100988,100988,TRUE,0,TRUE
GrupoP,ijk20,2,Stack,100988,50494,100988,100996,TRUE,8,TRUE
GrupoP,ijk20,3,Stack,100988,50494,100988,101000,TRUE,12,TRUE
GrupoP,ijk20,325,Stack,100988,50494,100988,101004,TRUE,16,TRUE
GrupoQ,ijk00,456,Stack,116215,58107,116215,NA,NA,NA,FALSE
GrupoQ,ijk00,923,Data,116215,58107,58107,NA,NA,NA,FALSE
GrupoQ,ijk00,1379,Stack,116215,58107,116215,NA,NA,NA,FALSE
GrupoQ,ijk01,456,Stack,126794,63397,126794,NA,NA,NA,FALSE
GrupoQ,ijk01,923,Data,126794,63397,63397,NA,NA,NA,FALSE
GrupoQ,ijk01,1379,Stack,126794,63397,126794,NA,NA,NA,FALSE
GrupoQ,ijk02,456,Data,119495,59747,59747,NA,NA,NA,FALSE
GrupoQ,ijk02,923,Data,119495,59747,59747,NA,NA,NA,FALSE
GrupoQ,ijk02,1379,Data,119495,59747,59747,NA,NA,NA,FALSE
GrupoQ,ijk03,456,Data,112397,56198,56198,NA,NA,NA,FALSE
GrupoQ,ijk03,923,Data,112397,56198,56198,NA,NA,NA,FALSE
GrupoQ,ijk03,1379,Data,112397,56198,56198,NA,NA,NA,FALSE
GrupoQ,ijk04,30,Stack,110296,55148,110296,NA,NA,NA,FALSE
GrupoQ,ijk04,46,Stack,110296,55148,110296,NA,NA,NA,FALSE
GrupoQ,ijk04,76,Stack,110296,55148,110296,NA,NA,NA,FALSE
GrupoQ,ijk05,-18,Stack,129101,64550,129101,NA,NA,NA,FALSE
GrupoQ,ijk05,-2,Stack,129101,64550,129101,NA,NA,NA,FALSE
GrupoQ,ijk05,16,Stack,129101,64550,129101,NA,NA,NA,FALSE
GrupoQ,ijk06,5,Stack,100196,50098,100196,NA,NA,NA,FALSE
GrupoQ,ijk06,12,Stack,100196,50098,100196,NA,NA,NA,FALSE
GrupoQ,ijk06,25,Stack,100196,50098,100196,NA,NA,NA,FALSE
GrupoQ,ijk07,45,Stack,131628,65814,131628,NA,NA,NA,FALSE
GrupoQ,ijk07,135,Stack,131628,65814,131628,NA,NA,NA,FALSE
GrupoQ,ijk07,6075,Stack,131628,65814,131628,NA,NA,NA,FALSE
GrupoQ,ijk08,3,Stack,112742,56371,112742,NA,NA,NA,FALSE
GrupoQ,ijk08,15,Stack,112742,56371,112742,NA,NA,NA,FALSE
GrupoQ,ijk08,55,Stack,112742,56371,112742,NA,NA,NA,FALSE
GrupoQ,ijk09,3,Stack,128469,64234,128469,NA,NA,NA,FALSE
GrupoQ,ijk09,15,Stack,128469,64234,128469,NA,NA,NA,FALSE
GrupoQ,ijk09,46,Stack,128469,64234,128469,NA,NA,NA,FALSE
